episode,steps,reward,result,goal_x,goal_y
155,15,232.90,goal,0.500,-0.100
156,14,235.18,goal,0.600,0.000
157,19,239.29,goal,0.650,0.100
158,482,-266.54,collision,0.500,0.200
159,500,-177.74,timeout,0.450,0.200
160,409,-222.20,collision,-0.500,0.150
161,478,-239.70,collision,-0.450,0.200
162,446,-236.87,collision,-0.550,0.000
163,411,-224.48,collision,-0.600,0.000
164,35,-128.02,collision,-0.500,-0.150
165,49,-136.39,collision,-0.450,-0.150
166,20,232.95,goal,0.550,-0.150
167,16,233.14,goal,0.500,-0.100
168,17,237.51,goal,0.600,0.000
169,19,241.26,goal,0.650,0.100
170,500,-172.83,timeout,0.500,0.200
171,16,230.29,goal,0.450,0.200
172,399,-216.26,collision,-0.500,0.150
173,480,-238.82,collision,-0.450,0.200
174,439,-238.75,collision,-0.550,0.000
175,49,-132.55,collision,-0.600,0.000
176,287,-215.64,collision,-0.500,-0.150
177,60,-135.20,collision,-0.450,-0.150
178,24,232.54,goal,0.550,-0.150
179,16,230.66,goal,0.500,-0.100
180,19,236.15,goal,0.600,0.000
181,20,238.74,goal,0.650,0.100
182,32,227.49,goal,0.500,0.200
183,69,-113.15,collision,0.450,0.200
184,55,-135.55,collision,-0.500,0.150
185,175,-150.86,collision,-0.450,0.200
186,136,-159.74,collision,-0.550,0.000
187,112,-151.62,collision,-0.600,0.000
188,69,-136.93,collision,-0.500,-0.150
189,92,-145.44,collision,-0.450,-0.150
190,28,230.99,goal,0.550,-0.150
191,15,232.00,goal,0.500,-0.100
192,16,236.43,goal,0.600,0.000
193,19,238.14,goal,0.650,0.100
194,28,229.51,goal,0.500,0.200
195,15,229.83,goal,0.450,0.200
196,37,-128.27,collision,-0.500,0.150
197,146,-147.34,collision,-0.450,0.200
198,149,-164.14,collision,-0.550,0.000
199,145,-161.63,collision,-0.600,0.000
200,60,-132.68,collision,-0.500,-0.150
201,20,-116.46,collision,-0.450,-0.150
202,20,233.30,goal,0.550,-0.150
203,16,231.13,goal,0.500,-0.100
204,20,237.88,goal,0.600,0.000
205,22,236.10,goal,0.650,0.100
206,25,231.79,goal,0.500,0.200
207,15,230.31,goal,0.450,0.200
208,40,-131.15,collision,-0.500,0.150
209,35,-128.88,collision,-0.450,0.200
210,134,200.74,goal,-0.550,0.000
211,100,209.50,goal,-0.600,0.000
212,34,-121.79,collision,-0.500,-0.150
213,80,-140.15,collision,-0.450,-0.150
214,114,-104.80,collision,0.550,-0.150
215,13,232.93,goal,0.500,-0.100
216,23,235.33,goal,0.600,0.000
217,21,236.73,goal,0.650,0.100
218,27,232.86,goal,0.500,0.200
219,77,-117.42,collision,0.450,0.200
220,44,-126.25,collision,-0.500,0.150
221,29,-127.07,collision,-0.450,0.200
222,84,211.18,goal,-0.550,0.000
223,125,204.51,goal,-0.600,0.000
224,65,-132.04,collision,-0.500,-0.150
225,54,-131.76,collision,-0.450,-0.150
226,27,231.07,goal,0.550,-0.150
227,17,230.44,goal,0.500,-0.100
228,17,235.62,goal,0.600,0.000
229,22,237.02,goal,0.650,0.100
230,26,229.52,goal,0.500,0.200
231,17,232.02,goal,0.450,0.200
232,45,-126.80,collision,-0.500,0.150
233,78,211.05,goal,-0.450,0.200
234,40,227.33,goal,-0.550,0.000
235,46,228.95,goal,-0.600,0.000
236,58,-123.42,collision,-0.500,-0.150
237,90,-137.34,collision,-0.450,-0.150
238,20,233.37,goal,0.550,-0.150
239,20,230.47,goal,0.500,-0.100
240,18,235.07,goal,0.600,0.000
241,22,236.53,goal,0.650,0.100
242,27,229.62,goal,0.500,0.200
243,14,229.94,goal,0.450,0.200
244,43,-129.09,collision,-0.500,0.150
245,42,-131.33,collision,-0.450,0.200
246,100,208.59,goal,-0.550,0.000
247,120,205.61,goal,-0.600,0.000
248,250,163.73,goal,-0.500,-0.150
249,192,-169.17,collision,-0.450,-0.150
250,22,233.34,goal,0.550,-0.150
251,18,230.44,goal,0.500,-0.100
252,15,236.55,goal,0.600,0.000
253,21,237.50,goal,0.650,0.100
254,28,228.86,goal,0.500,0.200
255,20,228.40,goal,0.450,0.200
256,104,-146.33,collision,-0.500,0.150
257,79,-139.31,collision,-0.450,0.200
258,100,212.81,goal,-0.550,0.000
259,122,202.71,goal,-0.600,0.000
260,232,166.24,goal,-0.500,-0.150
261,102,202.24,goal,-0.450,-0.150
262,23,232.51,goal,0.550,-0.150
263,17,234.63,goal,0.500,-0.100
264,19,236.01,goal,0.600,0.000
265,23,240.39,goal,0.650,0.100
266,16,232.14,goal,0.500,0.200
267,26,226.73,goal,0.450,0.200
268,146,192.81,goal,-0.500,0.150
269,109,202.97,goal,-0.450,0.200
270,118,203.62,goal,-0.550,0.000
271,36,232.25,goal,-0.600,0.000
272,89,210.44,goal,-0.500,-0.150
273,194,174.68,goal,-0.450,-0.150
274,1,199.62,goal,0.550,-0.150
275,16,230.65,goal,0.500,-0.100
276,20,234.10,goal,0.600,0.000
277,23,238.40,goal,0.650,0.100
278,21,231.62,goal,0.500,0.200
279,15,229.89,goal,0.450,0.200
280,148,191.14,goal,-0.500,0.150
281,126,198.21,goal,-0.450,0.200
282,124,202.42,goal,-0.550,0.000
283,92,212.63,goal,-0.600,0.000
284,54,220.08,goal,-0.500,-0.150
285,126,196.11,goal,-0.450,-0.150
286,22,233.49,goal,0.550,-0.150
287,16,230.98,goal,0.500,-0.100
288,21,238.04,goal,0.600,0.000
289,24,238.44,goal,0.650,0.100
290,18,233.30,goal,0.500,0.200
291,24,227.49,goal,0.450,0.200
292,137,195.59,goal,-0.500,0.150
293,115,201.56,goal,-0.450,0.200
294,32,229.28,goal,-0.550,0.000
295,107,209.22,goal,-0.600,0.000
296,30,227.97,goal,-0.500,-0.150
297,31,224.24,goal,-0.450,-0.150
298,24,232.56,goal,0.550,-0.150
299,21,230.76,goal,0.500,-0.100
300,24,234.11,goal,0.600,0.000
301,20,237.23,goal,0.650,0.100
302,19,235.45,goal,0.500,0.200
303,15,230.30,goal,0.450,0.200
304,99,206.01,goal,-0.500,0.150
305,85,208.76,goal,-0.450,0.200
306,100,208.40,goal,-0.550,0.000
307,37,231.11,goal,-0.600,0.000
308,39,224.92,goal,-0.500,-0.150
309,31,227.32,goal,-0.450,-0.150
310,21,232.89,goal,0.550,-0.150
311,18,233.26,goal,0.500,-0.100
312,18,235.53,goal,0.600,0.000
313,25,235.97,goal,0.650,0.100
314,16,234.61,goal,0.500,0.200
315,15,231.97,goal,0.450,0.200
316,116,203.39,goal,-0.500,0.150
317,111,200.46,goal,-0.450,0.200
318,38,226.11,goal,-0.550,0.000
319,34,230.75,goal,-0.600,0.000
320,31,230.29,goal,-0.500,-0.150
321,33,226.83,goal,-0.450,-0.150
322,21,232.95,goal,0.550,-0.150
323,21,232.97,goal,0.500,-0.100
324,20,235.69,goal,0.600,0.000
325,26,237.65,goal,0.650,0.100
326,16,232.74,goal,0.500,0.200
327,15,232.68,goal,0.450,0.200
328,154,191.33,goal,-0.500,0.150
329,120,199.00,goal,-0.450,0.200
330,31,228.60,goal,-0.550,0.000
331,34,230.79,goal,-0.600,0.000
332,33,226.16,goal,-0.500,-0.150
333,33,223.45,goal,-0.450,-0.150
334,27,232.15,goal,0.550,-0.150
335,16,233.00,goal,0.500,-0.100
336,24,235.00,goal,0.600,0.000
337,24,238.01,goal,0.650,0.100
338,20,233.34,goal,0.500,0.200
339,17,231.08,goal,0.450,0.200
340,159,188.32,goal,-0.500,0.150
341,126,196.90,goal,-0.450,0.200
342,40,227.53,goal,-0.550,0.000
343,50,225.01,goal,-0.600,0.000
344,31,230.51,goal,-0.500,-0.150
345,29,228.87,goal,-0.450,-0.150
346,25,234.17,goal,0.550,-0.150
347,24,229.69,goal,0.500,-0.100
348,22,236.38,goal,0.600,0.000
349,25,238.19,goal,0.650,0.100
350,18,233.27,goal,0.500,0.200
351,17,229.45,goal,0.450,0.200
352,165,187.68,goal,-0.500,0.150
353,188,178.48,goal,-0.450,0.200
354,38,228.97,goal,-0.550,0.000
355,37,233.20,goal,-0.600,0.000
356,29,226.90,goal,-0.500,-0.150
357,31,226.19,goal,-0.450,-0.150
358,30,230.18,goal,0.550,-0.150
359,20,229.37,goal,0.500,-0.100
360,30,232.43,goal,0.600,0.000
361,23,238.57,goal,0.650,0.100
362,19,231.54,goal,0.500,0.200
363,13,230.31,goal,0.450,0.200
364,207,176.24,goal,-0.500,0.150
365,219,171.69,goal,-0.450,0.200
366,34,229.09,goal,-0.550,0.000
367,36,228.97,goal,-0.600,0.000
368,35,229.47,goal,-0.500,-0.150
369,28,227.20,goal,-0.450,-0.150
370,30,230.07,goal,0.550,-0.150
371,30,228.30,goal,0.500,-0.100
372,24,234.42,goal,0.600,0.000
373,22,238.98,goal,0.650,0.100
374,16,234.45,goal,0.500,0.200
375,15,231.74,goal,0.450,0.200
376,24,-113.86,collision,-0.500,0.150
377,222,168.67,goal,-0.450,0.200
378,32,228.80,goal,-0.550,0.000
379,39,232.93,goal,-0.600,0.000
380,36,229.03,goal,-0.500,-0.150
381,31,227.93,goal,-0.450,-0.150
382,35,229.93,goal,0.550,-0.150
383,36,225.69,goal,0.500,-0.100
384,23,235.11,goal,0.600,0.000
385,24,237.70,goal,0.650,0.100
386,19,234.82,goal,0.500,0.200
387,14,231.85,goal,0.450,0.200
388,36,-117.38,collision,-0.500,0.150
389,36,-117.48,collision,-0.450,0.200
390,40,228.33,goal,-0.550,0.000
391,44,228.47,goal,-0.600,0.000
392,35,229.16,goal,-0.500,-0.150
393,33,223.73,goal,-0.450,-0.150
394,48,225.03,goal,0.550,-0.150
395,32,229.10,goal,0.500,-0.100
396,26,237.84,goal,0.600,0.000
397,22,238.52,goal,0.650,0.100
398,16,234.61,goal,0.500,0.200
399,14,232.80,goal,0.450,0.200
400,263,159.01,goal,-0.500,0.150
401,31,-116.11,collision,-0.450,0.200
402,36,227.06,goal,-0.550,0.000
403,49,227.54,goal,-0.600,0.000
404,31,226.44,goal,-0.500,-0.150
405,37,223.24,goal,-0.450,-0.150
406,42,228.08,goal,0.550,-0.150
407,30,229.13,goal,0.500,-0.100
408,31,233.86,goal,0.600,0.000
409,23,235.91,goal,0.650,0.100
410,15,234.47,goal,0.500,0.200
411,14,231.84,goal,0.450,0.200
412,313,142.99,goal,-0.500,0.150
413,42,-122.56,collision,-0.450,0.200
414,43,225.22,goal,-0.550,0.000
415,42,230.65,goal,-0.600,0.000
416,33,229.49,goal,-0.500,-0.150
417,33,223.45,goal,-0.450,-0.150
418,34,229.70,goal,0.550,-0.150
419,27,229.75,goal,0.500,-0.100
420,25,234.50,goal,0.600,0.000
421,22,239.77,goal,0.650,0.100
422,16,233.61,goal,0.500,0.200
423,14,230.68,goal,0.450,0.200
424,339,134.48,goal,-0.500,0.150
425,305,143.00,goal,-0.450,0.200
426,38,228.72,goal,-0.550,0.000
427,32,233.22,goal,-0.600,0.000
428,32,228.22,goal,-0.500,-0.150
429,32,225.33,goal,-0.450,-0.150
430,34,229.11,goal,0.550,-0.150
431,25,229.74,goal,0.500,-0.100
432,25,235.47,goal,0.600,0.000
433,21,240.29,goal,0.650,0.100
434,16,231.95,goal,0.500,0.200
435,14,231.19,goal,0.450,0.200
436,51,-123.39,collision,-0.500,0.150
437,35,-119.52,collision,-0.450,0.200
438,35,226.37,goal,-0.550,0.000
439,36,229.87,goal,-0.600,0.000
440,32,226.36,goal,-0.500,-0.150
441,32,224.02,goal,-0.450,-0.150
442,29,231.12,goal,0.550,-0.150
443,21,230.13,goal,0.500,-0.100
444,19,235.51,goal,0.600,0.000
445,19,238.21,goal,0.650,0.100
446,16,232.90,goal,0.500,0.200
447,19,228.11,goal,0.450,0.200
448,43,-120.57,collision,-0.500,0.150
449,287,149.44,goal,-0.450,0.200
450,27,228.91,goal,-0.550,0.000
451,37,232.76,goal,-0.600,0.000
452,32,227.55,goal,-0.500,-0.150
453,26,225.66,goal,-0.450,-0.150
454,42,226.89,goal,0.550,-0.150
455,24,229.89,goal,0.500,-0.100
456,18,235.40,goal,0.600,0.000
457,19,237.60,goal,0.650,0.100
458,14,235.30,goal,0.500,0.200
459,15,232.79,goal,0.450,0.200
460,269,156.93,goal,-0.500,0.150
461,233,165.01,goal,-0.450,0.200
462,33,228.66,goal,-0.550,0.000
463,37,230.14,goal,-0.600,0.000
464,28,229.99,goal,-0.500,-0.150
465,31,226.89,goal,-0.450,-0.150
466,31,232.18,goal,0.550,-0.150
467,15,231.81,goal,0.500,-0.100
468,21,236.91,goal,0.600,0.000
469,19,239.55,goal,0.650,0.100
470,15,233.32,goal,0.500,0.200
471,16,233.79,goal,0.450,0.200
472,127,199.64,goal,-0.500,0.150
473,68,215.39,goal,-0.450,0.200
474,36,227.76,goal,-0.550,0.000
475,36,232.86,goal,-0.600,0.000
476,31,227.50,goal,-0.500,-0.150
477,29,224.28,goal,-0.450,-0.150
478,28,230.48,goal,0.550,-0.150
479,22,229.24,goal,0.500,-0.100
480,20,237.34,goal,0.600,0.000
481,22,239.78,goal,0.650,0.100
482,15,234.76,goal,0.500,0.200
483,13,230.68,goal,0.450,0.200
484,64,218.49,goal,-0.500,0.150
485,76,213.47,goal,-0.450,0.200
486,30,227.96,goal,-0.550,0.000
487,42,227.23,goal,-0.600,0.000
488,29,228.22,goal,-0.500,-0.150
489,27,225.36,goal,-0.450,-0.150
490,29,231.60,goal,0.550,-0.150
491,20,231.07,goal,0.500,-0.100
492,18,234.82,goal,0.600,0.000
493,21,236.32,goal,0.650,0.100
494,15,232.72,goal,0.500,0.200
495,15,231.20,goal,0.450,0.200
496,74,214.70,goal,-0.500,0.150
497,67,214.53,goal,-0.450,0.200
498,34,229.63,goal,-0.550,0.000
499,37,231.32,goal,-0.600,0.000
500,36,225.48,goal,-0.500,-0.150
501,44,242.08,goal,0.750,0.650
502,30,227.68,goal,-0.500,-0.150
503,39,241.63,goal,0.500,0.750
504,19,239.15,goal,0.600,0.000
505,98,229.07,goal,0.650,0.850
506,15,234.01,goal,0.500,0.200
507,36,-108.66,collision,-0.700,-0.600
508,29,228.68,goal,-0.500,-0.150
509,62,234.76,goal,-0.750,-0.550
510,18,235.92,goal,0.600,0.000
511,47,241.54,goal,0.600,0.750
512,16,234.55,goal,0.500,0.200
513,63,242.28,goal,0.800,0.800
514,28,227.71,goal,-0.500,-0.150
515,102,229.32,goal,0.900,0.700
516,15,235.68,goal,0.600,0.000
517,52,-112.11,collision,-0.550,-0.650
518,16,232.20,goal,0.500,0.200
519,63,-116.22,collision,-0.600,-0.750
520,30,226.64,goal,-0.500,-0.150
521,50,-111.43,collision,-0.650,-0.750
522,19,239.25,goal,0.600,0.000
523,45,243.95,goal,0.750,0.650
524,14,233.99,goal,0.500,0.200
525,40,-96.94,collision,0.500,0.750
526,32,228.52,goal,-0.500,-0.150
527,54,241.88,goal,0.650,0.850
528,19,234.70,goal,0.600,0.000
529,54,236.51,goal,-0.700,-0.600
530,15,232.58,goal,0.500,0.200
531,59,236.16,goal,-0.750,-0.550
532,34,225.66,goal,-0.500,-0.150
533,65,235.49,goal,0.600,0.750
534,25,233.85,goal,0.600,0.000
535,56,244.42,goal,0.800,0.800
536,18,233.91,goal,0.500,0.200
537,62,241.09,goal,0.900,0.700
538,31,229.24,goal,-0.500,-0.150
539,69,-117.44,collision,-0.550,-0.650
540,21,238.72,goal,0.600,0.000
541,76,-119.46,collision,-0.600,-0.750
542,15,233.39,goal,0.500,0.200
543,88,-123.91,collision,-0.650,-0.750
544,33,229.27,goal,-0.500,-0.150
545,42,244.88,goal,0.750,0.650
546,20,237.70,goal,0.600,0.000
547,18,-91.62,collision,0.500,0.750
548,14,233.52,goal,0.500,0.200
549,68,239.04,goal,0.650,0.850
550,32,226.55,goal,-0.500,-0.150
551,67,234.86,goal,-0.700,-0.600
552,18,235.62,goal,0.600,0.000
553,63,235.22,goal,-0.750,-0.550
554,14,233.43,goal,0.500,0.200
555,35,243.07,goal,0.600,0.750
556,32,227.30,goal,-0.500,-0.150
557,31,-93.63,collision,0.800,0.800
558,20,237.85,goal,0.600,0.000
559,68,240.86,goal,0.900,0.700
560,16,233.86,goal,0.500,0.200
561,123,218.21,goal,-0.550,-0.650
562,29,228.43,goal,-0.500,-0.150
563,134,214.21,goal,-0.600,-0.750
564,18,236.03,goal,0.600,0.000
565,61,-116.10,collision,-0.650,-0.750
566,17,232.73,goal,0.500,0.200
567,50,241.75,goal,0.750,0.650
568,34,228.11,goal,-0.500,-0.150
569,44,239.11,goal,0.500,0.750
570,23,238.15,goal,0.600,0.000
571,55,241.55,goal,0.650,0.850
572,16,234.32,goal,0.500,0.200
573,89,229.18,goal,-0.700,-0.600
574,32,231.10,goal,-0.500,-0.150
575,68,235.02,goal,-0.750,-0.550
576,23,235.92,goal,0.600,0.000
577,42,241.74,goal,0.600,0.750
578,16,232.46,goal,0.500,0.200
579,54,243.85,goal,0.800,0.800
580,32,230.54,goal,-0.500,-0.150
581,96,231.45,goal,0.900,0.700
