episode,steps,reward,result,goal_x,goal_y
695,104,223.13,goal,-0.600,-0.750
696,15,235.99,goal,0.600,0.000
697,100,225.24,goal,-0.650,-0.750
698,14,233.93,goal,0.500,0.200
699,43,244.12,goal,0.750,0.650
700,30,230.03,goal,-0.500,-0.150
701,49,238.31,goal,0.500,0.750
702,19,234.19,goal,0.600,0.000
703,106,226.32,goal,0.650,0.850
704,16,237.86,goal,0.500,0.200
705,70,233.94,goal,-0.700,-0.600
706,35,227.01,goal,-0.500,-0.150
707,108,221.53,goal,-0.750,-0.550
708,21,234.43,goal,0.600,0.000
709,38,242.57,goal,0.600,0.750
710,13,233.76,goal,0.500,0.200
711,67,239.98,goal,0.800,0.800
712,34,228.50,goal,-0.500,-0.150
713,190,203.00,goal,0.900,0.700
714,21,236.47,goal,0.600,0.000
715,67,230.12,goal,-0.550,-0.650
716,14,233.87,goal,0.500,0.200
717,95,225.83,goal,-0.600,-0.750
718,33,226.50,goal,-0.500,-0.150
719,106,223.79,goal,-0.650,-0.750
720,21,234.08,goal,0.600,0.000
721,56,238.97,goal,0.750,0.650
722,14,235.93,goal,0.500,0.200
723,31,-87.42,collision,0.500,0.750
724,30,228.31,goal,-0.500,-0.150
725,94,229.80,goal,0.650,0.850
726,14,237.40,goal,0.600,0.000
727,57,236.16,goal,-0.700,-0.600
728,14,235.18,goal,0.500,0.200
729,56,237.31,goal,-0.750,-0.550
730,31,229.33,goal,-0.500,-0.150
731,67,234.66,goal,0.600,0.750
732,22,239.40,goal,0.600,0.000
733,73,237.41,goal,0.800,0.800
734,13,233.72,goal,0.500,0.200
735,205,198.10,goal,0.900,0.700
736,36,226.12,goal,-0.500,-0.150
737,107,218.93,goal,-0.550,-0.650
738,20,235.87,goal,0.600,0.000
739,96,226.12,goal,-0.600,-0.750
740,14,236.58,goal,0.500,0.200
741,97,226.58,goal,-0.650,-0.750
742,32,228.22,goal,-0.500,-0.150
743,47,242.07,goal,0.750,0.650
744,18,234.75,goal,0.600,0.000
745,31,-87.75,collision,0.500,0.750
746,16,233.53,goal,0.500,0.200
747,104,226.91,goal,0.650,0.850
748,28,228.77,goal,-0.500,-0.150
749,56,239.59,goal,-0.700,-0.600
750,15,236.53,goal,0.600,0.000
751,88,226.96,goal,-0.750,-0.550
752,15,233.76,goal,0.500,0.200
753,51,240.38,goal,0.600,0.750
754,33,229.59,goal,-0.500,-0.150
755,61,241.23,goal,0.800,0.800
756,15,236.85,goal,0.600,0.000
757,144,217.12,goal,0.900,0.700
758,14,232.73,goal,0.500,0.200
759,87,227.96,goal,-0.550,-0.650
760,31,228.96,goal,-0.500,-0.150
761,96,226.73,goal,-0.600,-0.750
762,20,235.17,goal,0.600,0.000
763,99,226.65,goal,-0.650,-0.750
764,14,232.38,goal,0.500,0.200
765,51,240.81,goal,0.750,0.650
766,32,228.85,goal,-0.500,-0.150
767,58,235.18,goal,0.500,0.750
768,18,238.28,goal,0.600,0.000
769,106,226.32,goal,0.650,0.850
770,16,236.15,goal,0.500,0.200
771,66,233.31,goal,-0.700,-0.600
772,30,227.74,goal,-0.500,-0.150
773,93,225.54,goal,-0.750,-0.550
774,24,235.41,goal,0.600,0.000
775,55,239.92,goal,0.600,0.750
776,15,232.75,goal,0.500,0.200
777,57,244.95,goal,0.800,0.800
778,32,226.70,goal,-0.500,-0.150
779,237,189.31,goal,0.900,0.700
780,19,235.54,goal,0.600,0.000
781,54,234.19,goal,-0.550,-0.650
782,15,234.04,goal,0.500,0.200
783,91,227.22,goal,-0.600,-0.750
784,32,229.86,goal,-0.500,-0.150
785,85,230.42,goal,-0.650,-0.750
786,19,234.30,goal,0.600,0.000
787,39,244.02,goal,0.750,0.650
788,14,233.93,goal,0.500,0.200
789,36,241.18,goal,0.500,0.750
790,32,228.12,goal,-0.500,-0.150
791,96,229.34,goal,0.650,0.850
792,19,234.31,goal,0.600,0.000
793,67,233.03,goal,-0.700,-0.600
794,16,234.59,goal,0.500,0.200
795,100,223.74,goal,-0.750,-0.550
796,30,226.78,goal,-0.500,-0.150
797,46,242.17,goal,0.600,0.750
798,23,235.27,goal,0.600,0.000
799,120,223.82,goal,0.800,0.800
800,13,237.05,goal,0.500,0.200
801,224,192.49,goal,0.900,0.700
802,31,226.42,goal,-0.500,-0.150
803,60,235.57,goal,-0.550,-0.650
804,20,234.28,goal,0.600,0.000
805,96,226.83,goal,-0.600,-0.750
806,16,237.36,goal,0.500,0.200
807,89,229.09,goal,-0.650,-0.750
808,30,228.24,goal,-0.500,-0.150
809,79,232.18,goal,0.750,0.650
810,18,234.74,goal,0.600,0.000
811,39,239.96,goal,0.500,0.750
812,14,237.34,goal,0.500,0.200
813,102,227.31,goal,0.650,0.850
814,29,226.63,goal,-0.500,-0.150
815,52,240.11,goal,-0.700,-0.600
816,17,234.60,goal,0.600,0.000
817,89,227.56,goal,-0.750,-0.550
818,13,233.72,goal,0.500,0.200
819,41,241.54,goal,0.600,0.750
820,31,228.29,goal,-0.500,-0.150
821,72,237.72,goal,0.800,0.800
822,24,234.74,goal,0.600,0.000
823,128,221.31,goal,0.900,0.700
824,14,234.44,goal,0.500,0.200
825,55,236.32,goal,-0.550,-0.650
826,31,226.14,goal,-0.500,-0.150
827,80,231.25,goal,-0.600,-0.750
828,20,236.28,goal,0.600,0.000
829,61,236.81,goal,-0.650,-0.750
830,14,233.40,goal,0.500,0.200
831,47,241.61,goal,0.750,0.650
832,31,226.20,goal,-0.500,-0.150
833,38,242.02,goal,0.500,0.750
834,19,238.96,goal,0.600,0.000
835,62,238.95,goal,0.650,0.850
836,15,236.55,goal,0.500,0.200
837,53,238.41,goal,-0.700,-0.600
838,32,226.93,goal,-0.500,-0.150
839,63,236.17,goal,-0.750,-0.550
840,14,240.76,goal,0.600,0.000
841,46,239.91,goal,0.600,0.750
842,14,233.78,goal,0.500,0.200
843,50,244.40,goal,0.800,0.800
844,31,226.28,goal,-0.500,-0.150
845,147,215.79,goal,0.900,0.700
846,15,236.28,goal,0.600,0.000
847,55,233.75,goal,-0.550,-0.650
848,14,234.77,goal,0.500,0.200
849,73,233.27,goal,-0.600,-0.750
850,30,229.02,goal,-0.500,-0.150
851,66,235.70,goal,-0.650,-0.750
852,18,235.84,goal,0.600,0.000
853,42,244.50,goal,0.750,0.650
854,17,233.66,goal,0.500,0.200
855,36,242.34,goal,0.500,0.750
856,31,229.64,goal,-0.500,-0.150
857,149,213.09,goal,0.650,0.850
858,18,234.62,goal,0.600,0.000
859,54,238.95,goal,-0.700,-0.600
860,15,235.58,goal,0.500,0.200
861,53,239.72,goal,-0.750,-0.550
862,31,228.50,goal,-0.500,-0.150
863,35,243.85,goal,0.600,0.750
864,18,237.79,goal,0.600,0.000
865,111,226.99,goal,0.800,0.800
866,14,237.32,goal,0.500,0.200
867,139,218.19,goal,0.900,0.700
868,31,226.42,goal,-0.500,-0.150
869,63,233.76,goal,-0.550,-0.650
870,19,236.63,goal,0.600,0.000
871,90,227.89,goal,-0.600,-0.750
872,18,234.87,goal,0.500,0.200
873,110,222.71,goal,-0.650,-0.750
874,31,228.31,goal,-0.500,-0.150
